Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743260574535,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,35.82350540161133,36.07365036010742,35.713741302490234,38.4117317199707,38.343990325927734,50,0,0,0,0,0,0,0,0,0,0,4.702668190002441,19327352832,1073741824,11149623296,124583936
209,1743260574535,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,35.82350540161133,36.07365036010742,35.713741302490234,38.4117317199707,38.343990325927734,NaN,NaN,NaN,100,0,NaN,0,0,NaN,0,0,4.702668190002441,19327352832,1073741824,11152244736,124583936
200,1743260574745,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.13591384887695,36.28995895385742,36.18897247314453,38.86664962768555,38.309547424316406,28.571430206298828,23.809524536132813,28.571430206298828,15.000000953674316,10,13.636363983154297,5,28.571430206298828,36.3636360168457,33.333335876464844,33.333335876464844,4.702668190002441,19327352832,1073741824,11162501120,124583936
209,1743260574946,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.13591384887695,36.28995895385742,36.18897247314453,38.86664962768555,38.309547424316406,31.57894515991211,30.000001907348633,30.000001907348633,33.333335876464844,33.333335876464844,30.000001907348633,33.333335876464844,31.57894515991211,30.000001907348633,30.000001907348633,100,4.702668190002441,19327352832,1073741824,11162517504,124583936
201,1743260575156,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.13591384887695,36.28995895385742,36.18897247314453,38.86664962768555,38.309547424316406,23.809524536132813,22.72727394104004,33.333335876464844,10,10,10,9.523809432983398,13.636363983154297,70,23.809524536132813,13.636363983154297,4.702668190002441,19327352832,1073741824,11162730496,124583936
203,1743260575359,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.13591384887695,36.28995895385742,36.18897247314453,38.86664962768555,38.309547424316406,4.761904716491699,0,100,9.523809432983398,0,0,0,0,0,0,0,4.937463760375977,19327352832,1073741824,11162746880,124583936
207,1743260575563,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.13591384887695,36.28995895385742,36.18897247314453,38.86664962768555,38.309547424316406,10.526315689086914,9.523809432983398,100,0,4.761904716491699,4.761904716491699,0,0,0,0,0,4.937463760375977,19327352832,1073741824,11063689216,124583936
203,1743260575771,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.397891998291016,40.3701057434082,45.29128646850586,44.875370025634766,40.39529800415039,45,40,100,40,42.85714340209961,42.85714340209961,42.85714340209961,42.85714340209961,42.85714340209961,42.85714340209961,42.85714340209961,4.937463760375977,19327352832,1073741824,11066032128,124583936
201,1743260575975,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.397891998291016,40.3701057434082,45.29128646850586,44.875370025634766,40.39529800415039,4.761904716491699,9.523809432983398,100,4.761904716491699,0,0,0,0,0,0,0,4.937463760375977,19327352832,1073741824,11065835520,124583936
209,1743260576176,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.397891998291016,40.3701057434082,45.29128646850586,44.875370025634766,40.39529800415039,5,0,25,4.761904716491699,0,0,0,25,52.38095474243164,0,0,4.937463760375977,19327352832,1073741824,11065606144,124583936
