Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743259083479,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.807884216308594,35.90155029296875,35.71058654785156,38.308650970458984,38.05937194824219,50,0,0,0,0,0,0,0,0,0,0,3.8489224910736084,19327352832,1073741824,11101110272,124583936
201,1743259083479,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.807884216308594,35.90155029296875,35.71058654785156,38.308650970458984,38.05937194824219,NaN,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,3.8489224910736084,19327352832,1073741824,11101110272,124583936
203,1743259083681,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.807884216308594,35.90155029296875,35.71058654785156,38.308650970458984,38.05937194824219,21.052631378173828,20,28.571430206298828,15.000000953674316,14.285715103149414,14.285715103149414,10,30.000001907348633,30.000001907348633,30.000001907348633,35,3.8489224910736084,19327352832,1073741824,11101110272,124583936
204,1743259083885,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,36.321067810058594,36.454036712646484,36.241615295410156,39.1118278503418,38.402374267578125,30.000001907348633,30.000001907348633,20,23.809524536132813,25,21.052631378173828,23.809524536132813,23.809524536132813,23.809524536132813,23.809524536132813,100,3.8489224910736084,19327352832,1073741824,11273437184,124583936
203,1743259084091,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,36.321067810058594,36.454036712646484,36.241615295410156,39.1118278503418,38.402374267578125,28.571430206298828,28.571430206298828,20,23.809524536132813,20,19.047618865966797,20,20,90,35,20,3.8489224910736084,19327352832,1073741824,11269193728,124583936
200,1743259084295,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,36.321067810058594,36.454036712646484,36.241615295410156,39.1118278503418,38.402374267578125,5.263157844543457,5,0,0,0,0,0,0,100,0,4.545454502105713,3.8492581844329834,19327352832,1073741824,11267211264,124583936
204,1743259084497,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,36.321067810058594,36.454036712646484,36.241615295410156,39.1118278503418,38.402374267578125,15.000000953674316,9.523809432983398,0,0,4.761904716491699,0,0,0,100,0,0,3.8492581844329834,19327352832,1073741824,11118067712,124583936
204,1743259084702,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,36.321067810058594,36.454036712646484,36.241615295410156,39.1118278503418,38.402374267578125,38.095237731933594,35,38.095237731933594,38.095237731933594,35,35,38.095237731933594,38.095237731933594,100,38.095237731933594,35,3.8492581844329834,19327352832,1073741824,11111563264,124583936
200,1743259084907,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,40.965457916259766,47.27154541015625,39.16084289550781,56.45125198364258,42.48154067993164,15.000000953674316,14.285715103149414,5,10,5,9.523809432983398,5,5,9.523809432983398,100,9.523809432983398,3.8492581844329834,19327352832,1073741824,11096162304,124583936
200,1743259085108,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,40.965457916259766,47.27154541015625,39.16084289550781,56.45125198364258,42.48154067993164,10,29.411766052246094,0,19.047618865966797,4.761904716491699,0,0,0,19.047618865966797,65,0,3.8492581844329834,19327352832,1073741824,11091787776,124583936
