Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743206232925,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,0,NaN,0,0,0,0,0,0,0,0,0,6.3379974365234375,19327352832,1073741824,10752294912,132972544
200,1743206232925,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,NaN,0,0,NaN,0,NaN,NaN,0,0,0,0,6.3379974365234375,19327352832,1073741824,10752294912,132972544
206,1743206233126,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,28.571430206298828,15.789472579956055,21.052631378173828,15.000000953674316,10,5.263157844543457,9.523809432983398,30.000001907348633,30.000001907348633,30.000001907348633,35,6.3379974365234375,19327352832,1073741824,10752294912,132972544
206,1743206233333,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,5,9.523809432983398,55,4.761904716491699,0,0,0,30.000001907348633,95,85.71428680419922,90,6.313694000244141,19327352832,1073741824,10752294912,132972544
199,1743206233540,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,10.526315689086914,5,0,10,0,0,0,0,100,0,0,6.313694000244141,19327352832,1073741824,10752294912,132972544
200,1743206233740,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,53.625,54.26034164428711,54.4481086730957,54.07014846801758,56.83747100830078,56.71476745605469,100,60.000003814697266,65,60.000003814697266,59.09090805053711,61.904762268066406,55,60.000003814697266,95,65,65,6.313694000244141,19327352832,1073741824,10765877248,132972544
202,1743206233940,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,58.390625,59.20098114013672,61.38629150390625,58.11606979370117,67.8361587524414,59.269771575927734,100,100,100,100,100,100,95,100,100,100,95.45454406738281,6.313694000244141,19327352832,1073741824,10678599680,132972544
200,1743206234143,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,58.390625,59.20098114013672,61.38629150390625,58.11606979370117,67.8361587524414,59.269771575927734,95.23809814453125,95.23809814453125,100,100,100,95.23809814453125,100,100,100,100,100,6.313694000244141,19327352832,1073741824,10678599680,132972544
202,1743206234344,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,58.390625,59.20098114013672,61.38629150390625,58.11606979370117,67.8361587524414,59.269771575927734,100,100,100,100,100,100,100,100,100,100,100,7.057975769042969,19327352832,1073741824,10678599680,132972544
206,1743206234547,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,58.390625,59.20098114013672,61.38629150390625,58.11606979370117,67.8361587524414,59.269771575927734,100,100,100,100,100,100,100,100,100,100,100,7.057975769042969,19327352832,1073741824,10678599680,132972544
201,1743206234754,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,58.390625,59.20098114013672,61.38629150390625,58.11606979370117,67.8361587524414,59.269771575927734,100,100,100,100,95,100,95,100,100,100,100,7.057975769042969,19327352832,1073741824,10680664064,132972544
209,1743206234956,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,72.30009460449219,70.39240264892578,70.20481872558594,80.29417419433594,64.42037200927734,95.23809814453125,100,100,95,100,100,100,100,100,100,100,7.057975769042969,19327352832,1073741824,10680582144,132972544
200,1743206235166,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,72.30009460449219,70.39240264892578,70.20481872558594,80.29417419433594,64.42037200927734,100,95.45454406738281,100,100,100,95.23809814453125,100,100,100,100,100,7.057975769042969,19327352832,1073741824,10680221696,132972544
202,1743206235367,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,72.30009460449219,70.39240264892578,70.20481872558594,80.29417419433594,64.42037200927734,100,100,100,100,100,100,100,100,100,100,100,17.126605987548828,19327352832,1073741824,10679664640,132972544
201,1743206235570,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,72.30009460449219,70.39240264892578,70.20481872558594,80.29417419433594,64.42037200927734,100,100,100,100,100,100,100,100,100,100,100,17.126605987548828,19327352832,1073741824,10679566336,132972544
201,1743206235772,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,72.30009460449219,70.39240264892578,70.20481872558594,80.29417419433594,64.42037200927734,95.23809814453125,100,100,100,95,95,100,100,100,100,100,17.126605987548828,19327352832,1073741824,10679009280,132972544
204,1743206235973,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,64.546875,77.51183319091797,75.24588012695313,74.67693328857422,86.56271362304688,67.41963195800781,100,100,100,100,100,100,100,100,100,100,100,17.126605987548828,19327352832,1073741824,10678599680,132972544
209,1743206236179,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,64.546875,77.51183319091797,75.24588012695313,74.67693328857422,86.56271362304688,67.41963195800781,100,95.23809814453125,100,100,100,100,95.23809814453125,100,100,95.23809814453125,100,17.126605987548828,19327352832,1073741824,10678419456,132972544
209,1743206236389,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,64.546875,77.51183319091797,75.24588012695313,74.67693328857422,86.56271362304688,67.41963195800781,100,100,100,95.23809814453125,95.23809814453125,100,100,100,100,100,100,35.40004348754883,19327352832,1073741824,10678419456,132972544
205,1743206236599,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,64.546875,77.51183319091797,75.24588012695313,74.67693328857422,86.56271362304688,67.41963195800781,95.23809814453125,100,100,100,100,100,100,100,100,100,100,35.40004348754883,19327352832,1073741824,10678419456,132972544
205,1743206236804,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,64.546875,77.51183319091797,75.24588012695313,74.67693328857422,86.56271362304688,67.41963195800781,100,100,100,100,100,95.23809814453125,100,100,100,100,100,35.40004348754883,19327352832,1073741824,10678009856,132972544
209,1743206237010,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.1875,79.11888122558594,76.87333679199219,76.23284149169922,88.65557861328125,68.46076202392578,95.45454406738281,100,100,100,100,100,95.23809814453125,100,100,100,100,35.40004348754883,19327352832,1073741824,10677075968,132972544
202,1743206237220,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.1875,79.11888122558594,76.87333679199219,76.23284149169922,88.65557861328125,68.46076202392578,100,95.45454406738281,100,95.45454406738281,100,100,100,100,100,100,100,35.40004348754883,19327352832,1073741824,10676551680,132972544
205,1743206237423,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.1875,79.11888122558594,76.87333679199219,76.23284149169922,88.65557861328125,68.46076202392578,100,100,100,100,100,95.45454406738281,100,100,100,100,100,40.59893798828125,19327352832,1073741824,10676338688,132972544
200,1743206237629,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.1875,79.11888122558594,76.87333679199219,76.23284149169922,88.65557861328125,68.46076202392578,100,100,100,100,95.45454406738281,100,100,100,100,100,100,40.59893798828125,19327352832,1073741824,10676092928,132972544
204,1743206237830,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.1875,79.11888122558594,76.87333679199219,76.23284149169922,88.65557861328125,68.46076202392578,95,100,100,100,100,100,100,100,100,100,100,40.59893798828125,19327352832,1073741824,10675683328,132972544
209,1743206238035,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.890625,79.2641372680664,76.98609161376953,76.66092681884766,88.40221405029297,68.9635009765625,100,100,100,95.23809814453125,100,100,95,100,100,100,100,40.59893798828125,19327352832,1073741824,10675552256,132972544
206,1743206238245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.890625,79.2641372680664,76.98609161376953,76.66092681884766,88.40221405029297,68.9635009765625,100,95.45454406738281,100,100,100,100,100,100,100,100,100,40.59893798828125,19327352832,1073741824,10674798592,132972544
203,1743206238452,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.890625,79.2641372680664,76.98609161376953,76.66092681884766,88.40221405029297,68.9635009765625,100,100,100,100,100,95.45454406738281,95.23809814453125,100,100,100,100,41.10533142089844,19327352832,1073741824,10674503680,132972544
205,1743206238655,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,66.890625,79.2641372680664,76.98609161376953,76.66092681884766,88.40221405029297,68.9635009765625,100,100,100,100,95.23809814453125,100,100,100,100,100,100,41.10533142089844,19327352832,1073741824,10674290688,132972544
209,1743206238861,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,67.609375,80.61001586914063,78.20179748535156,77.83678436279297,90.14261627197266,70.1157455444336,95,100,100,95.45454406738281,100,100,100,100,100,100,100,41.10533142089844,19327352832,1073741824,10674225152,132972544
208,1743206239070,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,67.609375,80.61001586914063,78.20179748535156,77.83678436279297,90.14261627197266,70.1157455444336,100,95.45454406738281,100,100,100,95.23809814453125,100,100,100,100,100,41.10533142089844,19327352832,1073741824,10674126848,132972544
201,1743206239279,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,67.609375,80.61001586914063,78.20179748535156,77.83678436279297,90.14261627197266,70.1157455444336,100,100,100,100,100,100,100,100,100,100,100,41.10533142089844,19327352832,1073741824,10673979392,132972544
