Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742926380672,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.59375,37.36433792114258,37.57420349121094,37.54939651489258,39.90723419189453,39.86621856689453,NaN,0,0,0,NaN,50,0,0,0,0,0,5.320630073547363,19327352832,1073741824,10675666944,266338304
209,1742926380673,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.59375,37.36433792114258,37.57420349121094,37.54939651489258,39.90723419189453,39.86621856689453,NaN,0,0,100,0,NaN,0,NaN,0,0,0,5.320630073547363,19327352832,1073741824,10678386688,266338304
209,1742926380883,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,37.65534973144531,37.8254280090332,37.76626205444336,40.33454513549805,39.960243225097656,31.81818199157715,35,42.85714340209961,42.85714340209961,19.047618865966797,20,25,25,31.81818199157715,25,30.000001907348633,5.320630073547363,19327352832,1073741824,10686726144,266338304
209,1742926381093,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,37.65534973144531,37.8254280090332,37.76626205444336,40.33454513549805,39.960243225097656,45,61.904762268066406,100,55,60.000003814697266,45.45454788208008,42.85714340209961,40.90909194946289,42.85714340209961,42.85714340209961,38.095237731933594,5.320630073547363,19327352832,1073741824,10686939136,266338304
200,1742926381303,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,37.65534973144531,37.8254280090332,37.76626205444336,40.33454513549805,39.960243225097656,33.333335876464844,70,9.523809432983398,14.285715103149414,0,4.761904716491699,4.761904716491699,0,0,90.47618865966797,0,5.33119535446167,19327352832,1073741824,10686939136,266338304
207,1742926381504,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,37.65534973144531,37.8254280090332,37.76626205444336,40.33454513549805,39.960243225097656,50,25,0,35,14.285715103149414,0,0,0,0,100,4.761904716491699,5.33119535446167,19327352832,1073741824,10687315968,266338304
209,1742926381712,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,37.65534973144531,37.8254280090332,37.76626205444336,40.33454513549805,39.960243225097656,20,25,0,15.000000953674316,15.000000953674316,0,33.333335876464844,0,0,100,0,5.33119535446167,19327352832,1073741824,10687037440,266338304
207,1742926381922,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.5,40.64561462402344,40.25249099731445,41.717464447021484,43.528045654296875,41.751319885253906,76.19047546386719,59.09090805053711,40,52.38095474243164,45.45454788208008,45.45454788208008,40,42.85714340209961,42.85714340209961,57.142860412597656,85,5.33119535446167,19327352832,1073741824,10693246976,266338304
201,1742926382130,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.5,40.64561462402344,40.25249099731445,41.717464447021484,43.528045654296875,41.751319885253906,30.000001907348633,15.000000953674316,0,33.333335876464844,21.052631378173828,15.000000953674316,4.761904716491699,0,0,0,100,5.33119535446167,19327352832,1073741824,10691985408,266338304
209,1742926382332,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.5,40.64561462402344,40.25249099731445,41.717464447021484,43.528045654296875,41.751319885253906,28.571430206298828,45,0,15.000000953674316,28.571430206298828,0,4.761904716491699,0,50,0,54.54545593261719,10.450638771057129,19327352832,1073741824,10692050944,266338304
