Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742930107932,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.6875,34.15879440307617,34.26080322265625,34.07889175415039,36.70624923706055,36.30577850341797,0,0,0,0,0,0,0,0,0,0,0,3.616931438446045,19327352832,1073741824,9209856000,266338304
209,1742930107932,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.6875,34.15879440307617,34.26080322265625,34.07889175415039,36.70624923706055,36.30577850341797,NaN,0,0,NaN,0,NaN,0,0,NaN,NaN,NaN,3.616931438446045,19327352832,1073741824,9212575744,266338304
209,1742930108142,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.6875,34.15879440307617,34.26080322265625,34.07889175415039,36.70624923706055,36.30577850341797,38.095237731933594,30.000001907348633,38.095237731933594,28.571430206298828,21.052631378173828,28.571430206298828,20,50,38.095237731933594,40.90909194946289,40,3.9317541122436523,19327352832,1073741824,9223323648,266338304
209,1742930108353,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.6875,34.15879440307617,34.26080322265625,34.07889175415039,36.70624923706055,36.30577850341797,66.66667175292969,66.66667175292969,95.23809814453125,68.18181610107422,68.18181610107422,66.66667175292969,68.18181610107422,66.66667175292969,66.66667175292969,75,68.18181610107422,3.9317541122436523,19327352832,1073741824,9223110656,266338304
209,1742930108563,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.6875,34.15879440307617,34.26080322265625,34.07889175415039,36.70624923706055,36.30577850341797,4.761904716491699,4.761904716491699,61.904762268066406,0,0,0,0,0,40,0,0,3.9317541122436523,19327352832,1073741824,9223110656,266338304
207,1742930108773,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.734375,37.25950241088867,37.09404754638672,38.215492248535156,41.023643493652344,37.646568298339844,9.523809432983398,4.761904716491699,0,0,0,0,0,0,100,0,0,3.9317541122436523,19327352832,1073741824,9223127040,266338304
202,1742930108981,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.734375,37.25950241088867,37.09404754638672,38.215492248535156,41.023643493652344,37.646568298339844,5,9.523809432983398,10,4.761904716491699,4.761904716491699,9.090909004211426,0,19.047618865966797,57.142860412597656,14.285715103149414,19.047618865966797,3.9317541122436523,19327352832,1073741824,9223733248,266338304
7,1742930109185,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.734375,37.25950241088867,37.09404754638672,38.215492248535156,41.023643493652344,37.646568298339844,23.809524536132813,15.000000953674316,0,15.000000953674316,9.523809432983398,0,9.523809432983398,0,0,0,0,4.454944133758545,19327352832,1073741824,9217572864,266338304
