Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743201379083,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,50,0,0,NaN,50,0,0,0,0,0,0,1.9928250312805176,19327352832,1073741824,10585931776,141361152
206,1743201379083,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,1.9928250312805176,19327352832,1073741824,10585931776,141361152
209,1743201379290,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,33.333335876464844,25,15.000000953674316,15.789472579956055,9.523809432983398,9.523809432983398,4.761904716491699,14.285715103149414,14.285715103149414,23.809524536132813,15.000000953674316,1.9928250312805176,19327352832,1073741824,10585931776,141361152
206,1743201379500,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,42.105262756347656,23.809524536132813,52.38095474243164,31.81818199157715,10,9.523809432983398,4.761904716491699,36.842105865478516,70,75,77.2727279663086,1.9928250312805176,19327352832,1073741824,10585931776,141361152
207,1743201379707,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,30.000001907348633,23.809524536132813,20,14.285715103149414,14.285715103149414,9.523809432983398,4.761904716491699,9.523809432983398,23.809524536132813,100,23.809524536132813,1.9151551723480225,19327352832,1073741824,10567876608,141361152
209,1743201379915,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,27.8125,29.524320602416992,29.538707733154297,29.546030044555664,32.209537506103516,31.855514526367188,52.38095474243164,50,50,31.57894515991211,35,25,21.052631378173828,31.81818199157715,28.571430206298828,77.2727279663086,63.15789031982422,1.9151551723480225,19327352832,1073741824,10493624320,141361152
206,1743201380125,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,34.598724365234375,34.367950439453125,34.356658935546875,39.1179313659668,34.40850830078125,100,100,100,100,100,100,100,100,100,100,100,1.9151551723480225,19327352832,1073741824,10514350080,141361152
209,1743201380331,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,34.598724365234375,34.367950439453125,34.356658935546875,39.1179313659668,34.40850830078125,100,100,100,100,100,100,100,100,100,100,100,1.9151551723480225,19327352832,1073741824,10495541248,141361152
207,1743201380541,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,34.598724365234375,34.367950439453125,34.356658935546875,39.1179313659668,34.40850830078125,100,100,100,100,100,100,100,100,100,100,100,2.344562530517578,19327352832,1073741824,10491363328,141361152
207,1743201380749,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,34.598724365234375,34.367950439453125,34.356658935546875,39.1179313659668,34.40850830078125,100,100,100,100,100,100,100,100,100,100,100,2.344562530517578,19327352832,1073741824,10491985920,141361152
200,1743201380957,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,34.598724365234375,34.367950439453125,34.356658935546875,39.1179313659668,34.40850830078125,100,100,100,100,100,100,100,100,100,100,100,2.344562530517578,19327352832,1073741824,10492624896,141361152
208,1743201381158,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,47.04650115966797,45.272125244140625,45.071205139160156,54.40052032470703,40.36460876464844,100,100,100,100,100,100,100,100,100,100,100,2.344562530517578,19327352832,1073741824,10492870656,141361152
204,1743201381366,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,47.04650115966797,45.272125244140625,45.071205139160156,54.40052032470703,40.36460876464844,100,100,100,100,100,100,100,100,100,100,100,2.344562530517578,19327352832,1073741824,10500063232,141361152
