Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743207792804,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,NaN,0,0,NaN,0,0,0,0,0,0,0,5.217967987060547,19327352832,1073741824,10713710592,132972544
209,1743207792805,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,100,0,0,0,NaN,0,0,NaN,0,NaN,0,5.217967987060547,19327352832,1073741824,10717331456,132972544
209,1743207793015,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,19.047618865966797,19.047618865966797,40,13.636363983154297,9.090909004211426,9.523809432983398,4.761904716491699,38.095237731933594,23.809524536132813,36.3636360168457,47.619049072265625,5.217967987060547,19327352832,1073741824,10726768640,132972544
200,1743207793225,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,5,5,71.42857360839844,0,4.761904716491699,0,0,71.42857360839844,61.904762268066406,50,60.000003814697266,5.176200866699219,19327352832,1073741824,10726768640,132972544
201,1743207793425,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,5,4.761904716491699,0,0,0,0,0,0,0,0,100,5.176200866699219,19327352832,1073741824,10726768640,132972544
206,1743207793627,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,50.83671188354492,50.827579498291016,50.72713851928711,53.30393981933594,53.07413864135742,70,94.11764526367188,76.19047546386719,71.42857360839844,68.42105102539063,70,70,75,70,71.42857360839844,95.23809814453125,5.176200866699219,19327352832,1073741824,10726768640,132972544
200,1743207793834,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.53125,56.029239654541016,56.22880935668945,55.00189971923828,61.4648323059082,55.6753044128418,100,100,100,95,95.45454406738281,95.23809814453125,95,100,100,100,100,5.176200866699219,19327352832,1073741824,10639327232,132972544
209,1743207794035,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.53125,56.029239654541016,56.22880935668945,55.00189971923828,61.4648323059082,55.6753044128418,100,100,100,100,100,100,95.23809814453125,100,100,100,100,5.176200866699219,19327352832,1073741824,10643390464,132972544
208,1743207794245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.53125,56.029239654541016,56.22880935668945,55.00189971923828,61.4648323059082,55.6753044128418,100,95.23809814453125,100,100,100,95.23809814453125,100,100,100,100,100,8.451454162597656,19327352832,1073741824,10643079168,132972544
201,1743207794454,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.53125,56.029239654541016,56.22880935668945,55.00189971923828,61.4648323059082,55.6753044128418,100,100,100,100,100,100,100,100,100,100,100,8.451454162597656,19327352832,1073741824,10643030016,132972544
