Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742925613352,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,37.106666564941406,37.24723434448242,37.297279357910156,39.59183120727539,39.58810806274414,100,NaN,0,50,0,50,0,0,0,0,0,4.984646320343018,19327352832,1073741824,10052665344,274726912
209,1742925613353,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,37.106666564941406,37.24723434448242,37.297279357910156,39.59183120727539,39.58810806274414,100,NaN,0,50,NaN,NaN,0,NaN,0,0,0,4.984646320343018,19327352832,1073741824,10054844416,274726912
205,1742925613563,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,37.106666564941406,37.24723434448242,37.297279357910156,39.59183120727539,39.58810806274414,50,61.904762268066406,25,30.000001907348633,28.571430206298828,20,15.000000953674316,42.85714340209961,28.571430206298828,33.333335876464844,20,4.984646320343018,19327352832,1073741824,10062413824,274726912
201,1742925613769,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,37.106666564941406,37.24723434448242,37.297279357910156,39.59183120727539,39.58810806274414,95.23809814453125,57.142860412597656,42.85714340209961,45,40,42.85714340209961,40,100,40,40,42.85714340209961,4.984646320343018,19327352832,1073741824,10062282752,274726912
209,1742925613971,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.052242279052734,38.774566650390625,39.10322952270508,42.02880096435547,40.20036315917969,10.526315689086914,15.000000953674316,5,38.095237731933594,52.38095474243164,4.761904716491699,4.761904716491699,0,5,95,0,4.984646320343018,19327352832,1073741824,10061922304,274726912
203,1742925614181,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.052242279052734,38.774566650390625,39.10322952270508,42.02880096435547,40.20036315917969,61.904762268066406,5,0,9.523809432983398,40,0,0,0,0,100,0,4.984646320343018,19327352832,1073741824,10062217216,274726912
209,1742925614385,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.052242279052734,38.774566650390625,39.10322952270508,42.02880096435547,40.20036315917969,66.66667175292969,18.18181800842285,5,10,13.636363983154297,20,14.285715103149414,9.523809432983398,5,100,5,5.509446144104004,19327352832,1073741824,10072244224,274726912
201,1742925614595,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.052242279052734,38.774566650390625,39.10322952270508,42.02880096435547,40.20036315917969,80.95238494873047,75,38.095237731933594,60.000003814697266,61.904762268066406,66.66667175292969,55,33.333335876464844,100,36.3636360168457,36.3636360168457,5.509446144104004,19327352832,1073741824,10089725952,274726912
204,1742925614797,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,40.948814392089844,43.72269821166992,40.380714416503906,49.507198333740234,42.73523712158203,0,5,28.571430206298828,0,0,0,0,0,70,0,0,5.509446144104004,19327352832,1073741824,10089218048,274726912
205,1742925615003,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,40.948814392089844,43.72269821166992,40.380714416503906,49.507198333740234,42.73523712158203,9.523809432983398,0,100,9.090909004211426,0,0,0,0,0,0,0,5.509446144104004,19327352832,1073741824,10089365504,274726912
199,1742925615209,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,40.948814392089844,43.72269821166992,40.380714416503906,49.507198333740234,42.73523712158203,9.523809432983398,10,4.545454502105713,0,0,0,0,0,4.761904716491699,0,0,5.509446144104004,19327352832,1073741824,10089283584,274726912
