Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742928751629,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.972469329833984,35.112648010253906,35.012474060058594,37.25133514404297,37.24081802368164,NaN,0,0,0,0,0,0,0,0,0,0,4.498917579650879,19327352832,1073741824,8800747520,266338304
203,1742928751629,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.972469329833984,35.112648010253906,35.012474060058594,37.25133514404297,37.24081802368164,50,NaN,NaN,NaN,0,0,0,0,NaN,0,0,4.498917579650879,19327352832,1073741824,8802304000,266338304
209,1742928751833,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.40625,35.118812561035156,35.199745178222656,35.13942337036133,37.377174377441406,37.33127212524414,26.3157901763916,20,35,25,20,15.000000953674316,19.047618865966797,35,33.333335876464844,35,42.85714340209961,4.498917579650879,19327352832,1073741824,8815017984,266338304
200,1742928752043,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.40625,35.118812561035156,35.199745178222656,35.13942337036133,37.377174377441406,37.33127212524414,75,76.19047546386719,76.19047546386719,71.42857360839844,71.42857360839844,71.42857360839844,70,95,76.19047546386719,81.81818389892578,75,4.498917579650879,19327352832,1073741824,8815034368,266338304
205,1742928752245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.40625,35.118812561035156,35.199745178222656,35.13942337036133,37.377174377441406,37.33127212524414,9.523809432983398,4.761904716491699,0,5.263157844543457,0,0,0,95.23809814453125,0,0,4.761904716491699,4.659923553466797,19327352832,1073741824,8815050752,266338304
201,1742928752452,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.40625,35.118812561035156,35.199745178222656,35.13942337036133,37.377174377441406,37.33127212524414,9.523809432983398,5,0,9.090909004211426,4.761904716491699,0,0,0,0,0,100,4.659923553466797,19327352832,1073741824,8814903296,266338304
206,1742928752654,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.40625,35.118812561035156,35.199745178222656,35.13942337036133,37.377174377441406,37.33127212524414,0,5,0,0,0,0,0,0,0,0,100,4.659923553466797,19327352832,1073741824,8814936064,266338304
7,1742928752861,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.3125,40.91070556640625,38.6179084777832,38.673091888427734,42.44757080078125,39.577335357666016,33.333335876464844,10.526315689086914,14.285715103149414,10,9.523809432983398,4.761904716491699,4.761904716491699,14.285715103149414,13.636363983154297,10,10,4.659923553466797,19327352832,1073741824,8812036096,266338304
